Call ID,Source Service,Source File,Source Line,HTTP Method,Destination Service,Destination Endpoint,Purpose,Request Type,Response Expected,Authentication Required,Timeout (seconds),Error Handling
1,order-service,services/order-service/app/routes/orders.py,57,GET,product-service,/{product_id},Validate product and check stock during order creation,Synchronous REST,Product details JSON,No,5,Returns 404 if product not found or 503 if service unavailable
2,order-service,services/order-service/app/routes/orders.py,96,POST,notification-service,/send,Send order confirmation notification after order creation,Synchronous REST,Success/failure JSON,No,5,Logs warning but doesn't fail order if notification fails
3,payment-service,services/payment-service/app/routes/payments.py,55,POST,notification-service,/send,Send payment confirmation notification after successful payment,Synchronous REST,Success/failure JSON,No,5,Logs warning but doesn't fail payment if notification fails
4,api-gateway,services/api-gateway/src/routes/users.js,9,POST,user-service,/register,Proxy user registration request,Synchronous REST (proxy),User details JSON,No,N/A,Returns service error or 503 if unavailable
5,api-gateway,services/api-gateway/src/routes/users.js,10,POST,user-service,/login,Proxy user login request,Synchronous REST (proxy),JWT token JSON,No,N/A,Returns service error or 503 if unavailable
6,api-gateway,services/api-gateway/src/routes/users.js,13,GET,user-service,/me,Proxy get user profile request,Synchronous REST (proxy),User profile JSON,Yes,N/A,Returns service error or 503 if unavailable
7,api-gateway,services/api-gateway/src/routes/users.js,14,PUT,user-service,/me,Proxy update user profile request,Synchronous REST (proxy),Updated user JSON,Yes,N/A,Returns service error or 503 if unavailable
8,api-gateway,services/api-gateway/src/routes/users.js,15,GET,user-service,/me/addresses,Proxy get user addresses request,Synchronous REST (proxy),Addresses list JSON,Yes,N/A,Returns service error or 503 if unavailable
9,api-gateway,services/api-gateway/src/routes/users.js,16,POST,user-service,/me/addresses,Proxy add user address request,Synchronous REST (proxy),New address JSON,Yes,N/A,Returns service error or 503 if unavailable
10,api-gateway,services/api-gateway/src/routes/products.js,9,GET,product-service,/,Proxy get all products request,Synchronous REST (proxy),Products list JSON,No,N/A,Returns service error or 503 if unavailable
11,api-gateway,services/api-gateway/src/routes/products.js,10,GET,product-service,/{id},Proxy get product by ID request,Synchronous REST (proxy),Product details JSON,No,N/A,Returns service error or 503 if unavailable
12,api-gateway,services/api-gateway/src/routes/products.js,11,GET,product-service,/category/{categoryId},Proxy get products by category request,Synchronous REST (proxy),Products list JSON,No,N/A,Returns service error or 503 if unavailable
13,api-gateway,services/api-gateway/src/routes/products.js,12,GET,product-service,/{id}/reviews,Proxy get product reviews request,Synchronous REST (proxy),Reviews list JSON,No,N/A,Returns service error or 503 if unavailable
14,api-gateway,services/api-gateway/src/routes/products.js,15,POST,product-service,/{id}/reviews,Proxy add product review request,Synchronous REST (proxy),New review JSON,Yes,N/A,Returns service error or 503 if unavailable
15,api-gateway,services/api-gateway/src/routes/orders.js,11,GET,order-service,/,Proxy get user orders request,Synchronous REST (proxy),Orders list JSON,Yes,N/A,Returns service error or 503 if unavailable
16,api-gateway,services/api-gateway/src/routes/orders.js,12,POST,order-service,/,Proxy create order request,Synchronous REST (proxy),New order JSON,Yes,N/A,Returns service error or 503 if unavailable
17,api-gateway,services/api-gateway/src/routes/orders.js,13,GET,order-service,/{id},Proxy get order by ID request,Synchronous REST (proxy),Order details JSON,Yes,N/A,Returns service error or 503 if unavailable
18,api-gateway,services/api-gateway/src/routes/orders.js,14,PUT,order-service,/{id}/cancel,Proxy cancel order request,Synchronous REST (proxy),Updated order JSON,Yes,N/A,Returns service error or 503 if unavailable
19,api-gateway,services/api-gateway/src/routes/payments.js,11,POST,payment-service,/process,Proxy process payment request,Synchronous REST (proxy),Transaction result JSON,Yes,N/A,Returns service error or 503 if unavailable
20,api-gateway,services/api-gateway/src/routes/payments.js,12,GET,payment-service,/transactions,Proxy get user transactions request,Synchronous REST (proxy),Transactions list JSON,Yes,N/A,Returns service error or 503 if unavailable
21,api-gateway,services/api-gateway/src/routes/payments.js,13,GET,payment-service,/transactions/{id},Proxy get transaction by ID request,Synchronous REST (proxy),Transaction details JSON,Yes,N/A,Returns service error or 503 if unavailable
22,api-gateway,services/api-gateway/src/routes/payments.js,14,POST,payment-service,/methods,Proxy add payment method request,Synchronous REST (proxy),New payment method JSON,Yes,N/A,Returns service error or 503 if unavailable
23,api-gateway,services/api-gateway/src/routes/payments.js,15,GET,payment-service,/methods,Proxy get payment methods request,Synchronous REST (proxy),Payment methods list JSON,Yes,N/A,Returns service error or 503 if unavailable
